State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
AK,2020,July,12 month-ending,Cocaine (T40.5),13,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,14
AK,2020,July,12 month-ending,Psychostimulants with abuse potential (T43.6),69,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,71
AK,2020,July,12 month-ending,Percent with drugs specified,94.81481481,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,July,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AK,2020,July,12 month-ending,Number of Deaths,4604,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,July,12 month-ending,Natural & semi-synthetic opioids (T40.2),37,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38
AK,2020,July,12 month-ending,Heroin (T40.1),39,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,41
AK,2020,July,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,78
AK,2020,July,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",93,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,95
AK,2020,July,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",48,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,49
AK,2020,July,12 month-ending,Number of Drug Overdose Deaths,135,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,138
AK,2020,June,12 month-ending,Cocaine (T40.5),12,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13
AK,2020,June,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AK,2020,June,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",91,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,93
AK,2020,June,12 month-ending,Number of Drug Overdose Deaths,132,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,135
AK,2020,June,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
AK,2020,June,12 month-ending,Psychostimulants with abuse potential (T43.6),66,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,68
AK,2020,June,12 month-ending,Natural & semi-synthetic opioids (T40.2),37,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38
AK,2020,June,12 month-ending,Percent with drugs specified,96.21212121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,June,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,74
AK,2020,June,12 month-ending,Number of Deaths,4499,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,June,12 month-ending,Heroin (T40.1),41,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,43
AK,2020,June,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",44,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
AK,2020,March,12 month-ending,Heroin (T40.1),34,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35
AK,2020,March,12 month-ending,Number of Drug Overdose Deaths,117,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,120
AK,2020,March,12 month-ending,Number of Deaths,4495,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,March,12 month-ending,Natural & semi-synthetic opioids (T40.2),29,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,30
AK,2020,March,12 month-ending,Percent with drugs specified,94.87179487,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,March,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",25,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,26
AK,2020,March,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",69,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,71
AK,2020,March,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,36
AK,2020,March,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,March,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",51,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,52
AK,2020,March,12 month-ending,Cocaine (T40.5),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AK,2020,March,12 month-ending,Psychostimulants with abuse potential (T43.6),55,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,57
AK,2020,May,12 month-ending,Cocaine (T40.5),10,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11
AK,2020,May,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",84,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,86
AK,2020,May,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,
AK,2020,May,12 month-ending,Natural & semi-synthetic opioids (T40.2),32,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,33
AK,2020,May,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",65,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,67
AK,2020,May,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",38,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,39
AK,2020,May,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",38,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,39
AK,2020,May,12 month-ending,Number of Drug Overdose Deaths,128,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,131
AK,2020,May,12 month-ending,Number of Deaths,4507,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,May,12 month-ending,Psychostimulants with abuse potential (T43.6),59,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,61
AK,2020,May,12 month-ending,Heroin (T40.1),37,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38
AK,2020,May,12 month-ending,Percent with drugs specified,94.53125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,November,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AK,2020,November,12 month-ending,Psychostimulants with abuse potential (T43.6),70,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,72
AK,2020,November,12 month-ending,Number of Drug Overdose Deaths,141,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,144
AK,2020,November,12 month-ending,Natural & semi-synthetic opioids (T40.2),36,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37
AK,2020,November,12 month-ending,Percent with drugs specified,93.61702128,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,November,12 month-ending,Number of Deaths,4910,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,November,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45
AK,2020,November,12 month-ending,Heroin (T40.1),27,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,28
AK,2020,November,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",81,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,83
AK,2020,November,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",92,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,94
AK,2020,November,12 month-ending,Cocaine (T40.5),18,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,19
AK,2020,November,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",53,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,55
AK,2020,October,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,78
AK,2020,October,12 month-ending,Heroin (T40.1),27,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,28
AK,2020,October,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",48,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,49
AK,2020,October,12 month-ending,Psychostimulants with abuse potential (T43.6),69,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,71
AK,2020,October,12 month-ending,Number of Drug Overdose Deaths,134,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,137
AK,2020,October,12 month-ending,Natural & semi-synthetic opioids (T40.2),35,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,36
AK,2020,October,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,44
AK,2020,October,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",86,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,88
AK,2020,October,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AK,2020,October,12 month-ending,Number of Deaths,4816,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,October,12 month-ending,Percent with drugs specified,93.28358209,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,October,12 month-ending,Cocaine (T40.5),15,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,16
AK,2020,September,12 month-ending,Heroin (T40.1),36,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37
AK,2020,September,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",93,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,95
AK,2020,September,12 month-ending,Percent with drugs specified,94.28571429,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,September,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",51,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,52
AK,2020,September,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",81,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,83
AK,2020,September,12 month-ending,Psychostimulants with abuse potential (T43.6),75,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,77
AK,2020,September,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,48
AK,2020,September,12 month-ending,Natural & semi-synthetic opioids (T40.2),40,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,41
AK,2020,September,12 month-ending,Cocaine (T40.5),13,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,14
AK,2020,September,12 month-ending,Number of Deaths,4723,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2020,September,12 month-ending,Number of Drug Overdose Deaths,140,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,143
AK,2020,September,12 month-ending,Methadone (T40.3),,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,10
AL,2020,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,Percent with drugs specified,82.56658596,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2020,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,Heroin (T40.1),,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,Methadone (T40.3),,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,Cocaine (T40.5),,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,Number of Drug Overdose Deaths,826,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,853
AL,2020,April,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,April,12 month-ending,Number of Deaths,54004,100,0.211095474,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2020,August,12 month-ending,Heroin (T40.1),,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,Percent with drugs specified,83.61884368,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2020,August,12 month-ending,Number of Deaths,58088,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2020,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,Cocaine (T40.5),,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,Number of Drug Overdose Deaths,934,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,964
AL,2020,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,Methadone (T40.3),,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0.203140063,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Methadone (T40.3),,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Percent with drugs specified,84.63094034,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2020,December,12 month-ending,Psychostimulants with abuse potential (T43.6),,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Cocaine (T40.5),,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Number of Deaths,63362,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,
AL,2020,December,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Heroin (T40.1),,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,December,12 month-ending,Number of Drug Overdose Deaths,989,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,1021
AL,2020,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",,100,0.217796155,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,February,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.224626558,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
AL,2020,February,12 month-ending,Heroin (T40.1),,100,0.224626558,Alabama,Numbers may differ from published reports using final data. See Technical Notes.  Data not shown due to low data quality.,**,
